transcript_id,cov,fpkm,tpm
STRG.286.1,13.51954,2.711288,1.765427
STRG.287.1,14.236877,2.855147,1.859099
STRG.288.1,4.130813,0.828418,0.539415
STRG.289.1,3.979734,0.798119,0.519687
STRG.290.1,17.746384,3.558964,2.317383
STRG.291.1,237.952576,47.720413,31.072651
STRG.292.1,1.0,0.200546,0.130583
STRG.293.1,41.616875,8.346093,5.434472
STRG.293.2,1.586187,0.318103,0.20713
STRG.294.1,22.054893,4.423018,2.880002
STRG.295.1,5.638372,1.130752,0.736278
STRG.296.1,4.408759,0.884159,0.575711
STRG.297.1,8.250751,1.654654,1.077411
STRG.297.2,3.006549,0.602951,0.392605
STRG.298.1,6.608456,1.325299,0.862954
STRG.299.1,42.529743,8.529165,5.553678
STRG.300.1,1.0,0.200546,0.130583
STRG.301.1,51.034206,10.2347,6.664219
STRG.301.2,14.575204,2.922997,1.903279
STRG.301.3,2.528898,0.50716,0.330232
STRG.302.1,35.974358,7.214509,4.697653
STRG.303.1,4.109234,0.82409,0.536598
STRG.304.1,43.747631,8.773408,5.712713
STRG.305.1,695.048218,139.389069,90.761742
STRG.305.2,182.563889,36.612438,23.839809
STRG.305.3,1.10934,0.222474,0.144861
STRG.306.1,48.280052,9.682366,6.304572
STRG.307.1,81.530396,16.350586,10.646514
STRG.307.2,42.001522,8.423233,5.484701
STRG.307.3,1.177734,0.23619,0.153792
STRG.307.4,1.124252,0.225464,0.146809
STRG.308.1,178.049179,35.707031,23.250263
STRG.308.2,7.400402,1.48412,0.966369
STRG.309.1,1.144432,0.229511,0.149444
STRG.310.1,14.60813,2.9296,1.907579
STRG.310.2,1.326251,0.265974,0.173186
STRG.311.1,3.353781,0.672587,0.437948
STRG.312.1,1.823279,0.365651,0.23809
STRG.313.1,3.089465,0.619579,0.403433
STRG.313.2,1.729322,0.346808,0.225821
STRG.314.1,249.867661,50.109936,32.628563
STRG.315.1,39.892376,8.000253,5.209281
STRG.315.2,2.302333,0.461723,0.300646
STRG.316.1,5.49769,1.102539,0.717907
STRG.317.1,33.007847,6.619588,4.310276
STRG.317.2,18.638842,3.737943,2.433923
STRG.317.3,3.928056,0.787756,0.512939
STRG.317.4,43.338482,8.691355,5.659285
STRG.317.5,3.061956,0.614063,0.399841
STRG.317.6,2.720363,0.545558,0.355234
STRG.318.1,4257.356445,853.795349,555.940002
STRG.318.2,211.921265,42.499943,27.673393
STRG.318.3,16.603096,3.329683,2.168088
STRG.319.1,13.18627,2.644452,1.721908
STRG.320.1,32.412678,6.500229,4.232557
STRG.321.1,63.310276,12.696616,8.267269
